"exp","id","block","trial","isold","condition1","condition2","rating","RT_CONF","RT_ON","excluding"
"ZSB2021_e1","ZSB2021_e1_19",2,68,0,"older","RecogFirst",11,55,3779,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,69,1,"older","RecogFirst",12,41,1423,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,70,0,"older","RecogFirst",2,839,2171,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,71,0,"older","RecogFirst",12,118,1520,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,72,1,"older","RecogFirst",12,132,1468,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,73,1,"older","RecogFirst",3,127,7562,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,74,1,"older","RecogFirst",11,25,1573,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,59,1,"older","AssocMemFirst",10,458,6149,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,60,1,"older","AssocMemFirst",3,895,7155,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,61,0,"older","AssocMemFirst",3,1128,8239,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,62,0,"older","AssocMemFirst",4,1990,4470,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,63,1,"older","AssocMemFirst",11,1639,5545,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,64,1,"older","AssocMemFirst",10,198,4728,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,65,1,"older","AssocMemFirst",3,879,4745,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,66,0,"older","AssocMemFirst",4,1165,6519,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,67,0,"older","AssocMemFirst",10,2747,4217,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,68,1,"older","AssocMemFirst",3,2611,2825,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,69,0,"older","AssocMemFirst",3,1559,4229,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,70,0,"older","AssocMemFirst",3,1536,2980,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,71,0,"older","AssocMemFirst",3,1276,4109,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,72,0,"older","AssocMemFirst",11,2611,3484,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,73,1,"older","AssocMemFirst",10,457,3598,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,74,1,"older","AssocMemFirst",12,404,5009,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,75,1,"older","AssocMemFirst",11,565,3919,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,76,0,"older","AssocMemFirst",2,3145,2465,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,77,1,"older","AssocMemFirst",4,2317,3527,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,78,0,"older","AssocMemFirst",3,144,3331,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,79,0,"older","AssocMemFirst",11,1232,3613,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,80,1,"older","AssocMemFirst",10,1991,3737,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,81,1,"older","AssocMemFirst",3,1163,3450,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,82,0,"older","AssocMemFirst",4,1921,8431,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,83,1,"older","AssocMemFirst",11,968,3639,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,84,0,"older","AssocMemFirst",4,1997,2844,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,85,1,"older","AssocMemFirst",3,1957,4969,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,86,1,"older","AssocMemFirst",11,216,3697,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,87,0,"older","AssocMemFirst",4,1469,5219,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,88,1,"older","AssocMemFirst",2,1413,5877,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,89,1,"older","AssocMemFirst",10,685,5127,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,90,0,"older","AssocMemFirst",4,1825,3573,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,91,0,"older","AssocMemFirst",10,2265,7099,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,92,1,"older","AssocMemFirst",11,372,4209,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,93,0,"older","AssocMemFirst",12,419,4392,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,94,0,"older","AssocMemFirst",4,2174,4261,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,95,1,"older","AssocMemFirst",4,1501,7410,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,96,0,"older","AssocMemFirst",3,897,4531,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,97,1,"older","AssocMemFirst",3,1245,5344,"Include"
"ZSB2021_e1","ZSB2021_e1_37",2,98,0,"older","AssocMemFirst",3,493,2703,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,58,0,"older","AssocMemFirst",10,1729,3938,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,59,1,"older","AssocMemFirst",10,1187,6567,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,60,1,"older","AssocMemFirst",3,2333,3494,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,61,0,"older","AssocMemFirst",10,2929,4499,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,62,1,"older","AssocMemFirst",10,1434,4399,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,63,1,"older","AssocMemFirst",12,1523,3475,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,64,1,"older","AssocMemFirst",12,1072,2113,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,65,0,"older","AssocMemFirst",11,1600,2680,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,66,1,"older","AssocMemFirst",10,1560,4346,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,67,0,"older","AssocMemFirst",3,1811,2309,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,68,1,"older","AssocMemFirst",3,1192,3014,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,69,0,"older","AssocMemFirst",3,424,2547,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,70,0,"older","AssocMemFirst",11,1166,8962,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,71,1,"older","AssocMemFirst",2,2403,4875,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,72,0,"older","AssocMemFirst",3,1477,4085,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,73,0,"older","AssocMemFirst",11,1984,4765,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,74,0,"older","AssocMemFirst",3,1283,3284,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,75,1,"older","AssocMemFirst",10,1727,5978,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,76,1,"older","AssocMemFirst",11,2131,4100,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,77,0,"older","AssocMemFirst",2,1710,2361,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,78,0,"older","AssocMemFirst",12,1300,2069,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,79,1,"older","AssocMemFirst",12,1465,2323,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,80,1,"older","AssocMemFirst",10,880,3305,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,81,1,"older","AssocMemFirst",10,1418,5824,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,82,0,"older","AssocMemFirst",3,1338,2300,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,83,0,"older","AssocMemFirst",2,634,2416,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,84,1,"older","AssocMemFirst",12,168,2139,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,85,1,"older","AssocMemFirst",11,394,4732,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,86,1,"older","AssocMemFirst",4,1423,3413,"Include"
