"exp","id","condition1","block","trial","isold","rating","RT","excluding"
"JCM2019_e1","JCM2019_e1_1","Old65",2,34,1,5,2794,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,35,1,6,926,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,36,1,6,827,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,37,1,6,924,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,38,1,6,2569,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,39,0,6,830,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,40,0,5,1344,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,41,0,1,1438,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,42,0,1,974,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,43,1,2,1137,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,44,1,5,1359,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,45,1,5,1463,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,46,1,6,927,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,47,1,4,2390,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,48,1,5,1381,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,49,0,4,957,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,50,1,6,1015,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,51,1,6,975,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,52,0,2,1046,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,53,1,6,803,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,54,1,5,2933,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,55,1,5,1162,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,56,1,6,1394,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,57,1,5,2069,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,58,1,2,1124,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,59,1,2,792,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,60,1,5,1012,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,61,0,2,1219,"Include"
