"exp","id","item","trial","isold","condition1","rating","RT","excluding"
"D2007_e1a","D2007_e1a_1","TRIAL",26,0,"HighFreq",2,2086,"Include"
"D2007_e1a","D2007_e1a_1","DAPPER",27,0,"LowFreq",1,1526,"Include"
"D2007_e1a","D2007_e1a_1","DIFFUSE",28,1,"LowFreq",2,1255,"Include"
"D2007_e1a","D2007_e1a_1","FORCE",29,1,"HighFreq",5,1258,"Include"
"D2007_e1a","D2007_e1a_1","GENERAL",30,1,"HighFreq",6,1067,"Include"
"D2007_e1a","D2007_e1a_1","MANUAL",31,0,"LowFreq",3,1435,"Include"
"D2007_e1a","D2007_e1a_1","STOCK",32,0,"HighFreq",2,1709,"Include"
"D2007_e1a","D2007_e1a_1","ISSUE",33,0,"HighFreq",2,1100,"Include"
"D2007_e1a","D2007_e1a_1","WITHIN",34,1,"HighFreq",4,1780,"Include"
"D2007_e1a","D2007_e1a_1","FLAIL",35,1,"LowFreq",6,2304,"Include"
"D2007_e1a","D2007_e1a_1","COMPILE",36,1,"LowFreq",6,1164,"Include"
"D2007_e1a","D2007_e1a_1","NEARLY",37,0,"HighFreq",3,1257,"Include"
"D2007_e1a","D2007_e1a_1","DESPITE",38,0,"HighFreq",3,2255,"Include"
"D2007_e1a","D2007_e1a_1","VALUE",39,1,"HighFreq",5,2036,"Include"
"D2007_e1a","D2007_e1a_1","GLARE",40,1,"LowFreq",6,1161,"Include"
"D2007_e1a","D2007_e1a_1","SHOWN",41,1,"HighFreq",6,1380,"Include"
"D2007_e1a","D2007_e1a_1","DESIGN",42,1,"HighFreq",3,1188,"Include"
"D2007_e1a","D2007_e1a_1","ADAMANT",43,1,"LowFreq",6,1153,"Include"
"D2007_e1a","D2007_e1a_1","RADIANT",44,1,"LowFreq",6,2161,"Include"
"D2007_e1a","D2007_e1a_1","GALLANT",45,1,"LowFreq",6,888,"Include"
"D2007_e1a","D2007_e1a_1","LEAVE",46,1,"HighFreq",6,801,"Include"
"D2007_e1a","D2007_e1a_1","MIDDLE",47,1,"HighFreq",6,799,"Include"
"D2007_e1a","D2007_e1a_1","ABIDE",48,0,"LowFreq",6,1155,"Include"
"D2007_e1a","D2007_e1a_1","BLISTER",49,1,"LowFreq",1,1820,"Include"
"D2007_e1a","D2007_e1a_1","SENSE",50,0,"HighFreq",6,2315,"Include"
"D2007_e1a","D2007_e1a_1","DEGRADE",51,0,"LowFreq",4,3855,"Include"
"D2007_e1a","D2007_e1a_1","POINT",52,1,"HighFreq",3,2613,"Include"
"D2007_e1a","D2007_e1a_1","EMINENT",53,0,"LowFreq",5,1189,"Include"
"D2007_e1a","D2007_e1a_1","MANDATE",54,1,"LowFreq",6,1102,"Include"
"D2007_e1a","D2007_e1a_1","VANISH",55,1,"LowFreq",6,1157,"Include"
"D2007_e1a","D2007_e1a_1","FEDERAL",56,1,"HighFreq",6,984,"Include"
"D2007_e1a","D2007_e1a_1","SOUND",57,1,"HighFreq",3,1334,"Include"
"D2007_e1a","D2007_e1a_1","NIBBLE",58,0,"LowFreq",2,1626,"Include"
"D2007_e1a","D2007_e1a_1","RAMPANT",59,0,"LowFreq",2,2269,"Include"
"D2007_e1a","D2007_e1a_1","JARGON",60,1,"LowFreq",2,980,"Include"
"D2007_e1a","D2007_e1a_1","ORDER",61,0,"HighFreq",2,997,"Include"
"D2007_e1a","D2007_e1a_1","ENTAIL",62,1,"LowFreq",6,1196,"Include"
"D2007_e1a","D2007_e1a_1","BROIL",63,0,"LowFreq",3,4030,"Include"
"D2007_e1a","D2007_e1a_1","GALLOP",64,0,"LowFreq",6,1112,"Include"
"D2007_e1a","D2007_e1a_1","MIGHT",65,0,"HighFreq",3,2881,"Include"
"D2007_e1a","D2007_e1a_1","FACILE",66,1,"LowFreq",6,1304,"Include"
"D2007_e1a","D2007_e1a_1","HARDLY",67,1,"HighFreq",4,2710,"Include"
"D2007_e1a","D2007_e1a_1","ERRATIC",68,0,"LowFreq",4,1323,"Include"
"D2007_e1a","D2007_e1a_1","GLIDE",69,0,"LowFreq",2,1668,"Include"
"D2007_e1a","D2007_e1a_1","ONWARD",70,0,"LowFreq",2,1561,"Include"
"D2007_e1a","D2007_e1a_1","COURSE",71,0,"HighFreq",5,1648,"Include"
"D2007_e1a","D2007_e1a_1","TEMPT",72,1,"LowFreq",6,1308,"Include"
"D2007_e1a","D2007_e1a_1","NATURAL",73,1,"HighFreq",2,1034,"Include"
"D2007_e1a","D2007_e1a_1","DAINTY",74,1,"LowFreq",6,1289,"Include"
"D2007_e1a","D2007_e1a_1","TRADE",75,1,"HighFreq",4,1350,"Include"
"D2007_e1a","D2007_e1a_1","START",76,1,"HighFreq",2,3604,"Include"
"D2007_e1a","D2007_e1a_1","ISLAND",77,1,"HighFreq",6,1246,"Include"
"D2007_e1a","D2007_e1a_1","RESPECT",78,1,"HighFreq",4,1876,"Include"
"D2007_e1a","D2007_e1a_1","THING",79,0,"HighFreq",2,1441,"Include"
"D2007_e1a","D2007_e1a_1","PARODY",80,0,"LowFreq",3,1210,"Include"
"D2007_e1a","D2007_e1a_1","HAMPER",81,0,"LowFreq",6,1210,"Include"
"D2007_e1a","D2007_e1a_1","HEARD",82,0,"HighFreq",3,2801,"Include"
"D2007_e1a","D2007_e1a_1","BEHIND",83,1,"HighFreq",6,1406,"Include"
"D2007_e1a","D2007_e1a_1","CONCISE",84,0,"LowFreq",3,4100,"Include"
"D2007_e1a","D2007_e1a_1","PERIOD",85,1,"HighFreq",6,1065,"Include"
"D2007_e1a","D2007_e1a_1","EASILY",86,0,"HighFreq",3,1640,"Include"
"D2007_e1a","D2007_e1a_1","PURPOSE",87,1,"HighFreq",6,1285,"Include"
"D2007_e1a","D2007_e1a_1","CENTER",88,1,"HighFreq",4,2008,"Include"
"D2007_e1a","D2007_e1a_1","OBLIGE",89,1,"LowFreq",3,2120,"Include"
"D2007_e1a","D2007_e1a_1","ROGUE",90,1,"LowFreq",3,3192,"Include"
"D2007_e1a","D2007_e1a_1","PARCEL",91,1,"LowFreq",3,1443,"Include"
"D2007_e1a","D2007_e1a_1","BLOAT",92,0,"LowFreq",3,3568,"Include"
"D2007_e1a","D2007_e1a_1","SENILE",93,0,"LowFreq",2,1580,"Include"
"D2007_e1a","D2007_e1a_1","BEREFT",94,1,"LowFreq",6,1249,"Include"
"D2007_e1a","D2007_e1a_1","REALLY",95,0,"HighFreq",3,1349,"Include"
"D2007_e1a","D2007_e1a_1","CERTAIN",96,0,"HighFreq",6,1012,"Include"
"D2007_e1a","D2007_e1a_1","EVERY",97,0,"HighFreq",6,994,"Include"
"D2007_e1a","D2007_e1a_1","CLASS",98,1,"HighFreq",3,1726,"Include"
"D2007_e1a","D2007_e1a_1","ENTIRE",99,1,"HighFreq",4,2859,"Include"
"D2007_e1a","D2007_e1a_1","CLEAR",100,0,"HighFreq",3,1340,"Include"
"D2007_e1a","D2007_e1a_1","SURFACE",101,1,"HighFreq",3,1240,"Include"
"D2007_e1a","D2007_e1a_1","BELIEVE",102,0,"HighFreq",4,1247,"Include"
"D2007_e1a","D2007_e1a_1","QUALITY",103,0,"HighFreq",3,1052,"Include"
"D2007_e1a","D2007_e1a_1","HAGGARD",104,1,"LowFreq",6,995,"Include"
"D2007_e1a","D2007_e1a_1","ROOST",105,0,"LowFreq",2,1324,"Include"
"D2007_e1a","D2007_e1a_1","AROUND",106,1,"HighFreq",4,1867,"Include"
"D2007_e1a","D2007_e1a_1","BESTOW",107,0,"LowFreq",3,1338,"Include"
"D2007_e1a","D2007_e1a_1","IMAGE",108,1,"HighFreq",3,1620,"Include"
"D2007_e1a","D2007_e1a_1","POLICY",109,0,"HighFreq",5,1382,"Include"
"D2007_e1a","D2007_e1a_1","NEMESIS",110,1,"LowFreq",4,1489,"Include"
"D2007_e1a","D2007_e1a_1","BRINK",111,1,"LowFreq",5,1278,"Include"
"D2007_e1a","D2007_e1a_1","AMEND",112,1,"LowFreq",5,1173,"Include"
"D2007_e1a","D2007_e1a_1","CASCADE",113,0,"LowFreq",3,1310,"Include"
"D2007_e1a","D2007_e1a_1","EARLY",114,1,"HighFreq",5,1317,"Include"
"D2007_e1a","D2007_e1a_1","FORAY",115,0,"LowFreq",2,1160,"Include"
