"exp","id","isold","rating","RT","excluding","trial","condition1"
"KL2012_e2","KL2012_e2_44",1,6,1220,"Include",49,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,894,"Include",50,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,3427,"Include",51,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1640,"Include",52,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,3154,"Include",53,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3554,"Include",54,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,1926,"Include",55,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3602,"Include",56,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2530,"Include",57,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,3322,"Include",58,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2234,"Include",59,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,3941,"Include",60,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,4622,"Include",61,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1652,"Include",62,"Block1"
"KL2012_e2","KL2012_e2_44",1,2,4289,"Include",63,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,5187,"Include",64,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3027,"Include",65,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,2745,"Include",66,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,2698,"Include",67,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3126,"Include",68,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1741,"Include",69,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2715,"Include",70,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3043,"Include",71,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2343,"Include",72,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2206,"Include",73,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,2149,"Include",74,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,3036,"Include",75,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,2613,"Include",76,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,1859,"Include",77,"Block1"
"KL2012_e2","KL2012_e2_44",1,3,2941,"Include",78,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1582,"Include",79,"Block1"
"KL2012_e2","KL2012_e2_44",0,6,1742,"Include",80,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,2719,"Include",81,"Block1"
"KL2012_e2","KL2012_e2_44",1,2,2772,"Include",82,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1514,"Include",83,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1833,"Include",84,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2892,"Include",85,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2664,"Include",86,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,4327,"Include",87,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2499,"Include",88,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,1741,"Include",89,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,4339,"Include",90,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,2666,"Include",91,"Block1"
"KL2012_e2","KL2012_e2_44",0,5,2446,"Include",92,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1255,"Include",93,"Block1"
"KL2012_e2","KL2012_e2_44",1,3,5170,"Include",94,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,3827,"Include",95,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,1832,"Include",96,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,2611,"Include",1,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,5849,"Include",2,"Block1"
"KL2012_e2","KL2012_e2_45",0,1,3905,"Include",3,"Block1"
"KL2012_e2","KL2012_e2_45",0,1,1788,"Include",4,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,2506,"Include",5,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,2933,"Include",6,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,1896,"Include",7,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,1895,"Include",8,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,3046,"Include",9,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,1361,"Include",10,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,6301,"Include",11,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,1491,"Include",12,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,777,"Include",13,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,3092,"Include",14,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,1589,"Include",15,"Block1"
"KL2012_e2","KL2012_e2_45",1,2,2312,"Include",16,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,1561,"Include",17,"Block1"
"KL2012_e2","KL2012_e2_45",1,2,2970,"Include",18,"Block1"
"KL2012_e2","KL2012_e2_45",0,1,4016,"Include",19,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,1756,"Include",20,"Block1"
"KL2012_e2","KL2012_e2_45",1,3,3859,"Include",21,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,3051,"Include",22,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,2703,"Include",23,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,2437,"Include",24,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,3503,"Include",25,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,1689,"Include",26,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,3287,"Include",27,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,3013,"Include",28,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,2258,"Include",29,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,1452,"Include",30,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,4292,"Include",31,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,1513,"Include",32,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,5361,"Include",33,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,6690,"Include",34,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,2721,"Include",35,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,1395,"Include",36,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,2590,"Include",37,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,4686,"Include",38,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,6017,"Include",39,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,3161,"Include",40,"Block1"
"KL2012_e2","KL2012_e2_45",1,2,1600,"Include",41,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,3778,"Include",42,"Block1"
"KL2012_e2","KL2012_e2_45",1,3,3972,"Include",43,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,2348,"Include",44,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,2916,"Include",45,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,3154,"Include",46,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,6052,"Include",47,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,5919,"Include",48,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,2944,"Include",49,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,2198,"Include",50,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,3474,"Include",51,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,2244,"Include",52,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,3616,"Include",53,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,5080,"Include",54,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,4176,"Include",55,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,4377,"Include",56,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,3503,"Include",57,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,5710,"Include",58,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,3733,"Include",59,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,3962,"Include",60,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,4023,"Include",61,"Block1"
"KL2012_e2","KL2012_e2_45",1,3,1858,"Include",62,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,2804,"Include",63,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,3687,"Include",64,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,2600,"Include",65,"Block1"
"KL2012_e2","KL2012_e2_45",0,1,3713,"Include",66,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,6156,"Include",67,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,3005,"Include",68,"Block1"
"KL2012_e2","KL2012_e2_45",1,2,4310,"Include",69,"Block1"
"KL2012_e2","KL2012_e2_45",0,3,6800,"Include",70,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,3714,"Include",71,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,3097,"Include",72,"Block1"
"KL2012_e2","KL2012_e2_45",0,5,5349,"Include",73,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,1275,"Include",74,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,4155,"Include",75,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,3117,"Include",76,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,1362,"Include",77,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,1352,"Include",78,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,4393,"Include",79,"Block1"
"KL2012_e2","KL2012_e2_45",0,4,5999,"Include",80,"Block1"
"KL2012_e2","KL2012_e2_45",1,2,5200,"Include",81,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,4026,"Include",82,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,1755,"Include",83,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,2845,"Include",84,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,3086,"Include",85,"Block1"
"KL2012_e2","KL2012_e2_45",1,2,2960,"Include",86,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,5588,"Include",87,"Block1"
"KL2012_e2","KL2012_e2_45",1,6,2789,"Include",88,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,3847,"Include",89,"Block1"
"KL2012_e2","KL2012_e2_45",1,2,3236,"Include",90,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,1577,"Include",91,"Block1"
"KL2012_e2","KL2012_e2_45",0,2,3295,"Include",92,"Block1"
