"exp","id","isold","condition1","rating","RT","excluding","trial"
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,2100,"Include",143
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1800,"Include",144
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,2700,"Include",145
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1900,"Include",146
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1800,"Include",147
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,900,"Include",148
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,1000,"Include",149
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,2550,"Include",150
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1900,"Include",151
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,550,"Include",152
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,950,"Include",153
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",1,3750,"Include",154
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,650,"Include",155
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,2000,"Include",156
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,700,"Include",157
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1467,"Include",158
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,700,"Include",159
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,900,"Include",160
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,950,"Include",161
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,700,"Include",162
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1050,"Include",163
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,600,"Include",164
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1050,"Include",165
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1650,"Include",166
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,700,"Include",167
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1200,"Include",168
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1400,"Include",169
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1050,"Include",170
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1900,"Include",171
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1700,"Include",172
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,800,"Include",173
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1100,"Include",174
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,700,"Include",175
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1050,"Include",176
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,800,"Include",177
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,950,"Include",178
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1150,"Include",179
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1950,"Include",180
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,800,"Include",181
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1000,"Include",182
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1100,"Include",183
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1100,"Include",184
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,800,"Include",185
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1500,"Include",186
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1250,"Include",187
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,550,"Include",188
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,600,"Include",189
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1750,"Include",190
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1350,"Include",191
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1100,"Include",192
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1900,"Include",193
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,850,"Include",194
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,800,"Include",195
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1500,"Include",196
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1500,"Include",197
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,700,"Include",198
