"exp","id","block","isold","rating","RT","excluding","trial"
"WKH2020_e1","WKH2020_e1_2",1,0,2,2478,"Include",101
"WKH2020_e1","WKH2020_e1_2",1,1,5,2303,"Include",102
"WKH2020_e1","WKH2020_e1_2",1,0,2,3028,"Include",103
"WKH2020_e1","WKH2020_e1_2",1,1,6,1773,"Include",104
"WKH2020_e1","WKH2020_e1_2",1,0,2,2873,"Include",105
"WKH2020_e1","WKH2020_e1_2",1,0,1,2696,"Include",106
"WKH2020_e1","WKH2020_e1_2",1,1,6,1828,"Include",107
"WKH2020_e1","WKH2020_e1_2",1,1,5,2259,"Include",108
"WKH2020_e1","WKH2020_e1_2",1,0,5,2302,"Include",109
"WKH2020_e1","WKH2020_e1_2",1,0,2,1887,"Include",110
"WKH2020_e1","WKH2020_e1_2",1,1,6,1507,"Include",111
"WKH2020_e1","WKH2020_e1_2",1,1,6,1510,"Include",112
"WKH2020_e1","WKH2020_e1_2",1,1,6,1685,"Include",113
"WKH2020_e1","WKH2020_e1_2",1,0,1,1691,"Include",114
"WKH2020_e1","WKH2020_e1_2",1,1,3,2576,"Include",115
"WKH2020_e1","WKH2020_e1_2",1,0,3,2593,"Include",116
"WKH2020_e1","WKH2020_e1_2",1,1,3,2900,"Include",117
"WKH2020_e1","WKH2020_e1_2",1,0,2,2299,"Include",118
"WKH2020_e1","WKH2020_e1_2",1,0,2,2253,"Include",119
"WKH2020_e1","WKH2020_e1_2",1,1,6,1631,"Include",120
"WKH2020_e1","WKH2020_e1_2",1,1,6,2452,"Include",121
"WKH2020_e1","WKH2020_e1_2",1,1,6,1971,"Include",122
"WKH2020_e1","WKH2020_e1_2",1,0,2,2686,"Include",123
"WKH2020_e1","WKH2020_e1_2",1,0,2,2509,"Include",124
"WKH2020_e1","WKH2020_e1_2",1,1,6,1677,"Include",125
"WKH2020_e1","WKH2020_e1_2",1,1,6,1560,"Include",126
"WKH2020_e1","WKH2020_e1_2",1,0,2,3022,"Include",127
"WKH2020_e1","WKH2020_e1_2",1,0,3,3893,"Include",128
"WKH2020_e1","WKH2020_e1_2",1,0,2,2768,"Include",129
"WKH2020_e1","WKH2020_e1_2",1,0,2,2735,"Include",130
"WKH2020_e1","WKH2020_e1_2",1,1,6,1773,"Include",131
"WKH2020_e1","WKH2020_e1_2",1,1,6,1577,"Include",132
"WKH2020_e1","WKH2020_e1_2",1,0,2,3387,"Include",133
"WKH2020_e1","WKH2020_e1_2",1,1,4,2974,"Include",134
"WKH2020_e1","WKH2020_e1_2",1,1,6,2374,"Include",135
"WKH2020_e1","WKH2020_e1_2",1,0,1,2909,"Include",136
"WKH2020_e1","WKH2020_e1_2",1,1,6,1710,"Include",137
