"exp","id","trial","isold","rating","excluding"
"NFR2013_e3","NFR2013_e3_2",48,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",49,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",50,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",51,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",52,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",53,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",54,1,3,"Include"
"NFR2013_e3","NFR2013_e3_2",55,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",56,1,5,"Include"
"NFR2013_e3","NFR2013_e3_2",57,1,1,"Include"
"NFR2013_e3","NFR2013_e3_2",58,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",59,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",60,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",61,1,4,"Include"
"NFR2013_e3","NFR2013_e3_2",62,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",63,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",64,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",65,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",66,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",67,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",68,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",69,1,4,"Include"
"NFR2013_e3","NFR2013_e3_2",70,0,4,"Include"
"NFR2013_e3","NFR2013_e3_2",71,0,2,"Include"
"NFR2013_e3","NFR2013_e3_2",72,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",73,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",74,1,4,"Include"
"NFR2013_e3","NFR2013_e3_2",75,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",76,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",77,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",78,0,4,"Include"
"NFR2013_e3","NFR2013_e3_2",79,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",80,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",81,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",82,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",83,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",84,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",85,1,3,"Include"
"NFR2013_e3","NFR2013_e3_2",86,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",87,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",88,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",89,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",90,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",91,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",92,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",93,1,1,"Include"
"NFR2013_e3","NFR2013_e3_2",94,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",95,1,3,"Include"
"NFR2013_e3","NFR2013_e3_2",96,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",97,1,3,"Include"
"NFR2013_e3","NFR2013_e3_2",98,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",99,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",100,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",101,1,1,"Include"
"NFR2013_e3","NFR2013_e3_2",102,0,1,"Include"
