"exp","id","item","trial","isold","condition1","rating","excluding"
"WHD2018_e1","WHD2018_e1_103","beloning",1143,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","honing",1144,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","zwerver",1145,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","kookpunt",1146,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","stoomboot",1147,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","inzet",1148,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","goed",1149,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","gondel",1150,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","instructeur",1151,0,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","schoon",1152,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","vorst",1153,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","wolf",1154,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","eenwieler",1155,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","mal",1156,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","struikgewas",1157,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","rat",1158,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","proef",1159,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","dikte",1160,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","medaillon",1161,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","motregen",1162,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","ruzie",1163,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","magie",1164,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","verlangen",1165,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","bloei",1166,1,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","snel",1167,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","vlakte",1168,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","kerkbank",1169,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","kwartier",1170,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","gevaar",1171,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","jovialiteit",1172,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","smid",1173,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","slabbetje",1174,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","buit",1175,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","infectie",1176,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","bijl",1177,0,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","ventilator",1178,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","bij",1179,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","rollen",1180,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","jas",1181,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","broer",1182,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","rem",1183,0,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","walrus",1184,1,"Vertex",3,"Include"
